3aka3/9/5P3/1R6p/9/2P6/2r6/4B4/4A4/c3KAB2 w,0.00036464052,6908
3aka3/5P3/9/1R6p/9/2P6/2r6/4B4/4A4/c3KAB2 b,0.0013679028,5123
3aka3/5P3/9/1R6p/9/2P6/9/4B4/4A4/c1r1KAB2 w,-0.0029149074,6924
3aka3/5P3/9/1R6p/9/2P6/9/4B4/9/c1rAKAB2 b,0.003115842,7517
3aka3/5P3/9/1R6p/9/2r6/9/4B4/9/c2AKAB2 w,-0.0025199093,7636
3aka3/5P3/9/1R6p/9/2r6/9/4B4/4A4/c3KAB2 b,0.0021249594,4313
3aka3/5P3/9/1R6p/9/5r3/9/4B4/4A4/c3KAB2 w,-0.0001225928,1265
3aka3/5P3/9/4R3p/9/5r3/9/4B4/4A4/c3KAB2 b,0.0004934831,463
4ka3/4aP3/9/4R3p/9/5r3/9/4B4/4A4/c3KAB2 w,-0.00053523236,2817
4ka3/4aP3/9/R7p/9/5r3/9/4B4/4A4/c3KAB2 b,0.00028658702,7335
4ka3/4aP3/9/R7p/9/5r3/9/4B4/4A4/1c2KAB2 w,-0.0004934831,2465
R3ka3/4aP3/9/8p/9/5r3/9/4B4/4A4/1c2KAB2 b,0.0010960284,1173
R2aka3/5P3/9/8p/9/5r3/9/4B4/4A4/1c2KAB2 w,-0.0009191816,1265
3aka3/R4P3/9/8p/9/5r3/9/4B4/4A4/1c2KAB2 b,0.0022345856,4532
3aka3/R4P3/9/5r2p/9/9/9/4B4/4A4/1c2KAB2 w,-0.0029495526,820
3aka3/5P3/R8/5r2p/9/9/9/4B4/4A4/1c2KAB2 b,0.03574924,2894
3aka3/5r3/R8/8p/9/9/9/4B4/4A4/1c2KAB2 w,-0.045362502,1701
3aka3/5r3/1R7/8p/9/9/9/4B4/4A4/1c2KAB2 b,0.047668934,7461
3aka3/5r3/1R7/8p/9/9/9/4B4/4A4/c3KAB2 w,-0.049267866,1728
3aka3/5r3/R8/8p/9/9/9/4B4/4A4/c3KAB2 b,0.022789896,7372
3aka3/5r3/R8/8p/9/9/9/4B4/4A4/1c2KAB2 w,-0.045362502,1701
3aka3/5r3/9/R7p/9/9/9/4B4/4A4/1c2KAB2 b,0.029376933,3194
3aka3/4r4/9/R7p/9/9/9/4B4/4A4/1c2KAB2 w,-0.0011408647,2465
3aka3/4r4/9/1R6p/9/9/9/4B4/4A4/1c2KAB2 b,0.000858914,7461
3aka3/4r4/9/1R6p/9/9/9/4B4/4A4/c3KAB2 w,-0.0011408647,2547
3aka3/4r4/9/8p/9/9/9/4B4/1R2A4/c3KAB2 b,0.075204566,1181
3aka3/7r1/9/8p/9/9/9/4B4/1R2A4/c3KAB2 w,-0.059975877,6642
3aka3/7r1/9/8p/9/9/9/4B4/R3A4/c3KAB2 b,0.020930791,7372
3aka3/7r1/9/8p/9/9/9/4B4/R3A4/1c2KAB2 w,-0.0052225273,6553
3aka3/7r1/9/8p/9/9/R8/4B4/4A4/1c2KAB2 b,0.07282959,1474
3aka3/1r7/9/8p/9/9/R8/4B4/4A4/1c2KAB2 w,-0.0397198,4887
3aka3/1r7/9/8p/9/9/4R4/4B4/4A4/1c2KAB2 b,0.0789005,283
3ak4/1r2a4/9/8p/9/9/4R4/4B4/4A4/1c2KAB2 w,-0.04106415,5251
3ak4/1r2a4/9/8p/9/9/R8/4B4/4A4/1c2KAB2 b,0.12401213,937
3ak4/4a4/1r7/8p/9/9/R8/4B4/4A4/1c2KAB2 w,-0.088176996,7734
3ak4/4a4/1r7/8p/9/9/9/4B4/4A4/Rc2KAB2 b,0.09244631,1765
3ak4/4a4/1r7/9/8p/9/9/4B4/4A4/Rc2KAB2 w,-0.08543048,7335
3ak4/4a4/1r7/9/8p/R8/9/4B4/4A4/1c2KAB2 b,0.12590626,7426
3ak4/4a4/2r6/9/8p/R8/9/4B4/4A4/1c2KAB2 w,-0.09100298,4097
3ak4/4a4/2r6/9/8p/R8/9/4BA3/9/1c2KAB2 b,0.14196442,1883
3ak4/4a4/9/9/8p/R8/9/4BA3/9/1cr1KAB2 w,-0.10804359,7726
3ak4/4a4/9/9/8p/R8/9/4BA3/4K4/1cr2AB2 b,0.09539473,7544
3ak4/4a4/9/9/8p/R8/9/4BA3/4K4/1c3rB2 w,-0.07956796,4086
3ak4/4a4/9/9/8p/1R7/9/4BA3/4K4/1c3rB2 b,0.15541004,7824
3ak4/4a4/9/9/8p/1R7/9/4BA3/4K4/c4rB2 w,-0.08513607,4185
3ak4/4a4/9/9/8p/R8/9/4BA3/4K4/c4rB2 b,0.08954158,7374
3ak4/4a4/9/9/8p/R8/9/4BA3/4K4/cr4B2 w,-0.051712718,4086
3ak4/4a4/9/9/8p/2R6/9/4BA3/4K4/cr4B2 b,0.304313,7453
3ak4/4a4/c8/9/8p/2R6/9/4BA3/4K4/1r4B2 w,-0.26676777,4250
3ak4/4a4/c8/9/8p/R8/9/4BA3/4K4/1r4B2 b,0.34465846,1643
